assets,numpy,qpo
"['ADADOWNUSDT', 'ARUSDT', 'BNBUSDT', 'CKBUSDT', 'DFUSDT', 'CVPUSDT']",0.007339685121643248,0.007593205797141441
"['AMBUSDT', 'BTSUSDT', 'BICOUSDT', 'BTCUSDT', 'DARUSDT', 'CHZUSDT']",0.006835830673841065,0.007217810626873151
"['BTSUSDT', 'DIAUSDT', 'DCRUSDT', 'ASRUSDT', 'COMPUSDT', 'CHRUSDT']",0.003252923170030627,0.0030997590848000807
"['ETHUSDT', 'API3USDT', 'BNBDOWNUSDT', 'BELUSDT', 'ATMUSDT', 'DASHUSDT']",0.007613087612703347,0.007355913740808099
"['BLZUSDT', 'ADADOWNUSDT', 'CELRUSDT', 'ACAUSDT', 'DGBUSDT', 'ASRUSDT']",0.0033318779425301807,0.004517419771784018
"['BNXUSDT', 'ADXUSDT', 'CELOUSDT', 'DOCKUSDT', 'ALICEUSDT', 'ACHUSDT']",0.011386759319301923,0.011160851896746083
"['DASHUSDT', 'AKROUSDT', 'BARUSDT', 'ADAUPUSDT', 'ARDRUSDT', 'AMBUSDT']",0.0035636596964870263,0.005538295611883662
"['XRPUSDT', 'BANDUSDT', 'AUDIOUSDT', 'COTIUSDT', 'AVABUSD', 'BURGERUSDT']",0.008629877744181252,0.008694473350984768
"['COTIUSDT', 'ALCXUSDT', 'BETAUSDT', 'ALGOUSDT', 'CKBUSDT', 'APTUSDT']",0.009830904420329599,0.009620610121562763
"['ALGOUSDT', 'DENTUSDT', 'CHESSUSDT', '1INCHUSDT', 'ADAUSDT', 'ADXUSDT']",0.011598145515336179,0.01127032581509777
"['ANTUSDT', 'AKROUSDT', 'ADXUSDT', 'AVAXUSDT', 'COSUSDT', 'CLVUSDT']",0.002183863438981344,0.0028097385452742034
"['CHZUSDT', 'XRPUSDT', 'ETHUSDT', 'ATAUSDT', 'ACAUSDT', 'DFUSDT']",0.005793546287090096,0.005659549613533274
"['CELOUSDT', 'CTKUSDT', 'ATOMUSDT', 'ANKRUSDT', 'ACHUSDT', 'ALGOUSDT']",0.011352168716664873,0.011285598356235835
"['CVPUSDT', 'CTSIUSDT', 'CKBUSDT', 'CVXUSDT', 'COMPUSDT', 'APEUSDT']",0.0039673807249343395,0.003682006165648402
"['DFUSDT', 'CTKUSDT', 'ATOMUSDT', 'CELRUSDT', 'CITYUSDT', 'CVPUSDT']",0.011891587725379866,0.011738706130038258
"['AGLDUSDT', 'AAVEUSDT', 'BTCUPUSDT', 'AGIXUSDT', 'DEGOUSDT', 'BALUSDT']",0.005833196699287152,0.006002798451893447
"['BNBUPUSDT', 'CTSIUSDT', 'ALPHAUSDT', 'AKROUSDT', 'ETHUSDT', 'ATAUSDT']",nan,0.0007939319934059932
"['DARUSDT', 'BLZUSDT', 'APEUSDT', 'DFUSDT', 'BTCUPUSDT', 'BONDUSDT']",0.004901293473336095,0.005588357350286968
"['ARDRUSDT', 'CTXCUSDT', 'CTKUSDT', 'DATAUSDT', 'AAVEUSDT', 'COMPUSDT']",0.0022259708751234046,0.0027004692680640896
