assets,numpy,qpo
"['ATAUSDT', 'DEGOUSDT', 'CELRUSDT', 'BETAUSDT', 'COMPUSDT', 'BNXUSDT', 'CHRUSDT']",nan,0.002154850453778609
"['CTSIUSDT', 'BELUSDT', 'CITYUSDT', 'CLVUSDT', 'DATAUSDT', 'AXSUSDT', 'ALGOUSDT']",0.011107140168688042,0.010338424496137165
"['ALPHAUSDT', 'ACAUSDT', 'ALICEUSDT', '1INCHUSDT', 'ADAUPUSDT', 'ALGOUSDT', 'AGIXUSDT']",0.014399361888449194,0.013984928996961457
"['DODOUSDT', 'ALICEUSDT', 'AGLDUSDT', 'ATAUSDT', 'ALPACAUSDT', 'CITYUSDT', 'AUCTIONUSDT']",0.005018614672135295,0.00727129157194608
"['CELOUSDT', 'BTTCUSDT', 'AAVEUSDT', 'ARBUSDT', 'XRPUSDT', 'AVAXUSDT', 'ACAUSDT']",0.0013579198220346992,0.0009587964178809616
"['ADXUSDT', 'BSWUSDT', 'CHRUSDT', 'CVPUSDT', 'ANKRUSDT', 'BUSDUSDT', 'BATUSDT']",0.005496798962632254,0.005791671448834907
"['ADADOWNUSDT', 'ASTRUSDT', 'ACHUSDT', 'AGIXUSDT', 'BNBDOWNUSDT', 'BELUSDT', 'SOLUSDT']",0.008681325902701327,0.008302569860432691
"['BNXUSDT', 'CTSIUSDT', 'AVAXUSDT', 'DASHUSDT', 'CLVUSDT', 'ADADOWNUSDT', 'BALUSDT']",0.006874688165232828,0.006376371192861951
"['ALPHAUSDT', 'DIAUSDT', 'CTXCUSDT', 'DEGOUSDT', 'ALPINEUSDT', 'CHESSUSDT', 'AXSUSDT']",0.011805718603124023,0.01147725864048147
"['AGLDUSDT', 'ALPINEUSDT', 'CELRUSDT', 'AUDIOUSDT', 'AAVEUSDT', 'CTSIUSDT', 'ARPAUSDT']",0.01408617620975435,0.013919066755123253
"['BONDUSDT', 'DENTUSDT', 'CAKEUSDT', 'BATUSDT', 'BNXUSDT', 'CTSIUSDT', 'CITYUSDT']",0.008428966540514235,0.009143734897945767
"['CLVUSDT', 'COSUSDT', 'DASHUSDT', 'BELUSDT', 'CELOUSDT', 'ARPAUSDT', 'BIFIUSDT']",0.00479411638664031,0.0036409794690498683
"['XRPUSDT', 'ARBUSDT', 'ANTUSDT', 'BTTCUSDT', 'COTIUSDT', 'BELUSDT', 'DCRUSDT']",0.0022237648798795954,0.0027241956590375875
"['DIAUSDT', 'CVXUSDT', 'ARUSDT', 'ASTRUSDT', 'AKROUSDT', 'ALPHAUSDT', 'BUSDUSDT']",nan,0.0012580825944903274
"['ARUSDT', 'CLVUSDT', 'ARDRUSDT', 'BNXUSDT', 'CHRUSDT', 'DENTUSDT', 'BTSUSDT']",0.00752709384366491,0.007813395375736859
"['AVAUSDT', '1INCHUSDT', 'ARPAUSDT', 'CTKUSDT', 'ANTUSDT', 'DIAUSDT', 'C98USDT']",0.009984685587465632,0.009718539799441397
"['COSUSDT', 'CAKEUSDT', 'CFXUSDT', 'BATUSDT', 'ETHUSDT', 'AVAUSDT', 'BADGERUSDT']",0.005590933824225735,0.005876001658747393
"['BIFIUSDT', 'COMPUSDT', 'BANDUSDT', 'ANTUSDT', 'AGLDUSDT', 'CFXUSDT', 'ADAUPUSDT']",0.013938508895497248,0.013740965460025404
"['AAVEUSDT', 'BICOUSDT', 'BTCUPUSDT', 'BURGERUSDT', 'CRVUSDT', 'DFUSDT', 'ADAUPUSDT']",0.002029532395359356,0.0007729699243693789
"['ALCXUSDT', 'AGIXUSDT', 'ARBUSDT', 'ADXUSDT', 'CHRUSDT', 'DEGOUSDT', 'AXSUSDT']",0.007261925324523751,0.0075659237158796164
"['ACHUSDT', 'ALICEUSDT', 'BLZUSDT', 'AVABUSD', 'APTUSDT', 'CAKEUSDT', 'CITYUSDT']",0.014355918874486161,0.01397111807821515
"['COTIUSDT', 'BTSUSDT', 'CAKEUSDT', 'DIAUSDT', 'AGLDUSDT', 'APEUSDT', 'CRVUSDT']",0.002757394330776104,0.0006786806188526905
"['APEUSDT', 'CLVUSDT', 'ATOMUSDT', 'ETHUSDT', 'DFUSDT', 'ALGOUSDT', 'CTKUSDT']",0.006519251173398712,0.006723934362103183
"['CHRUSDT', 'SOLUSDT', 'BATUSDT', 'DEGOUSDT', 'ATAUSDT', 'ADAUPUSDT', 'COMPUSDT']",0.0010447330158680705,0.00013749141314057644
"['APTUSDT', 'COTIUSDT', 'BIFIUSDT', 'ALICEUSDT', 'CHRUSDT', 'ATOMUSDT', 'BURGERUSDT']",0.008036648951996466,0.008237619121045507
"['AMPUSDT', 'DODOUSDT', 'CELOUSDT', 'BICOUSDT', 'C98USDT', 'CELRUSDT', 'COTIUSDT']",0.015408883269911218,0.015485594191073225
"['CTXCUSDT', 'ARUSDT', 'ATAUSDT', 'CELRUSDT', 'ARBUSDT', 'API3USDT', 'BNXUSDT']",0.010935804972386451,0.011009156801057421
"['ACHUSDT', 'DOCKUSDT', 'BTCUPUSDT', 'AUCTIONUSDT', 'BUSDUSDT', 'BELUSDT', 'CHESSUSDT']",nan,5.831828191147151e-06
"['AVAXUSDT', 'DEGOUSDT', 'BADGERUSDT', 'ARUSDT', 'BNXUSDT', 'BIFIUSDT', 'CAKEUSDT']",0.00948529934606876,0.009473095117013854
"['ACMUSDT', 'ARDRUSDT', 'ACHUSDT', 'ACAUSDT', 'APEUSDT', 'ADAUPUSDT', 'BADGERUSDT']",0.01358522429354464,0.014004202860782876
"['AKROUSDT', 'ATOMUSDT', 'CELRUSDT', 'CKBUSDT', 'ATAUSDT', 'CHESSUSDT', 'CLVUSDT']",0.004260087504627392,0.0060072224625022375
"['BTCUSDT', 'AGIXUSDT', 'ANTUSDT', 'BIFIUSDT', 'BARUSDT', 'AMPUSDT', 'ADAUPUSDT']",nan,0.002526727322822677
"['C98USDT', 'ASTRUSDT', 'DOCKUSDT', 'AGIXUSDT', 'DATAUSDT', 'COMPUSDT', 'SOLUSDT']",0.002624431451926975,0.00012833393070921413
"['ARUSDT', 'CELRUSDT', 'AMPUSDT', 'BSWUSDT', 'CRVUSDT', 'ALPHAUSDT', 'BNXUSDT']",0.011256903984175809,0.011256325909253774
