numberofiteration,timeforexact_eigensolver
1,0.016475999999999935
2,0.015724999999999767
3,0.016187000000000396
4,0.014884999999999593
5,0.014564999999999273
6,0.014521000000000228
7,0.014497999999999678
8,0.014840000000000408
9,0.015195000000000292
10,0.014492000000000616
11,0.014320999999999806
12,0.014145000000000074
13,0.014724999999999433
14,0.014259000000000022
15,0.014657999999999838
16,0.01515799999999956
17,0.01455200000000012
18,0.015247000000000455
19,0.015106999999999537
20,0.014521000000000228
21,0.014495999999999398
22,0.014706999999999582
23,0.015030000000000321
24,0.014574999999999783
25,0.015502000000000571
26,0.014978000000000158
27,0.0698369999999997
28,0.014846000000000359
29,0.0149979999999994
30,0.014863999999999322
31,0.014941000000000315
32,0.014854000000000589
33,0.014654999999999418
34,0.014821999999999669
35,0.014777000000000484
36,0.014717000000000091
37,0.014600999999999864
38,0.014997000000000149
39,0.01529899999999973
40,0.014519000000000837
41,0.014901000000000053
42,0.014888000000000012
43,0.014768000000000114
44,0.01487000000000016
45,0.015063999999999744
46,0.014922999999999575
47,0.015210000000000612
48,0.014901000000000053
49,0.01532300000000042
50,0.01501399999999986
51,0.014918999999999905
52,0.01501399999999986
53,0.01502400000000037
54,0.015060000000000073
55,0.015096999999999916
56,0.014663999999999788
57,0.014936999999999756
58,0.014726000000000461
59,0.015247999999999706
60,0.015064000000000632
61,0.015015999999999252
62,0.014805999999999209
63,0.015375999999999834
64,0.014835000000000598
65,0.014934000000000225
66,0.015041999999999334
67,0.0154519999999998
68,0.015143000000000129
69,0.014657999999999838
70,0.014568999999999832
71,0.015528000000000652
72,0.01565100000000008
73,0.015337999999999852
74,0.014479999999999826
75,0.01423099999999966
76,0.014056000000000068
77,0.01455300000000026
78,0.014292000000000193
79,0.014670999999999879
80,0.014281000000000432
81,0.014973999999999599
82,0.014499999999999957
83,0.014594999999999914
84,0.014445000000000263
85,0.014769000000000254
86,0.01499999999999968
87,0.015206000000000053
88,0.014111999999999902
89,0.014310000000000045
90,0.01424500000000073
91,0.014405999999999253
92,0.014272000000000062
93,0.014504999999999768
94,0.014167000000000485
95,0.01436199999999932
96,0.014624000000000414
97,0.014619000000000604
98,0.014266999999999364
99,0.014358000000000537
100,0.013949999999999463
101,0.014012000000000135
102,0.01407999999999987
103,0.014140000000000263
104,0.014050000000000118
105,0.014245999999999981
106,0.014317999999999387
107,0.014336000000000126
108,0.014858999999999511
109,0.015106000000000286
110,0.015057000000000542
111,0.015475999999999601
112,0.014876000000000111
113,0.015303000000000289
114,0.014833000000000318
115,0.014878999999999643
116,0.015138000000000318
117,0.014588999999999963
118,0.014409999999999812
119,0.01470199999999977
120,0.014343000000000217
121,0.014508999999999439
122,0.014351999999999698
123,0.014523000000000508
124,0.014560999999999602
125,0.014359999999999928
126,0.01409000000000038
127,0.014100000000000001
128,0.014170000000000016
129,0.014315999999999995
130,0.014269999999999783
131,0.01455200000000012
132,0.014362000000000208
133,0.014306000000000374
134,0.014264999999999972
135,0.014954999999999607
136,0.014630999999999617
137,0.014708999999999861
138,0.014966000000000257
139,0.015086000000000155
140,0.015047000000000033
141,0.015260999999999747
142,0.01530399999999954
143,0.014922000000000324
144,0.014929999999999666
145,0.015082999999999736
146,0.01502500000000051
147,0.014748000000000872
148,0.014456999999999276
149,0.014823999999999948
150,0.014766999999999975
151,0.014501000000000097
152,0.01422900000000027
153,0.014259999999999273
154,0.014454000000000633
155,0.014472000000000484
156,0.014484999999999637
157,0.015133999999999759
158,0.015020999999999951
159,0.01593899999999948
160,0.01497999999999955
161,0.015113999999999628
162,0.01499499999999987
163,0.01502500000000051
164,0.015036999999999523
165,0.0148590000000004
166,0.014782000000000295
167,0.0146980000000001
168,0.015470000000000539
169,0.014962999999999838
170,0.014981999999999829
171,0.01469200000000015
172,0.014420000000000321
173,0.014299999999999535
174,0.014032000000000266
175,0.014302999999999955
176,0.01406799999999997
177,0.014459000000000444
178,0.014108000000000231
179,0.01422599999999985
180,0.014001000000000374
181,0.014375000000000249
182,0.014149999999999885
183,0.01513899999999957
184,0.015280999999999878
185,0.014880999999999922
186,0.014822999999999809
187,0.014939000000000036
188,0.01486500000000035
189,0.014795999999999587
190,0.014687000000000339
191,0.015108000000000565
192,0.01529799999999959
193,0.015418000000000376
194,0.014896000000000242
195,0.01517400000000002
196,0.015127000000000557
197,0.0150030000000001
198,0.014895000000000103
199,0.014730000000000132
200,0.014625000000000554
201,0.01530499999999968
202,0.015030000000000321
203,0.015037000000000411
204,0.015261999999999887
205,0.015368000000000492
206,0.015261000000000635
207,0.01574199999999948
208,0.01484400000000008
209,0.014922000000000324
210,0.014732000000000411
211,0.015045999999999893
212,0.014974000000000487
213,0.014700999999998743
214,0.015413999999999817
215,0.015392000000000294
216,0.014959000000001055
217,0.015083000000000624
218,0.015079000000000065
219,0.0149689999999989
220,0.014808000000000376
221,0.01487400000000072
222,0.015045000000000641
223,0.014979000000000298
224,0.014696000000000708
225,0.014639999999999986
226,0.014761000000000024
227,0.014153000000000304
228,0.01406799999999997
229,0.01411900000000088
230,0.01393900000000059
231,0.014636999999998679
232,0.014308999999999017
233,0.01458600000000132
234,0.014082999999999402
235,0.014198999999999629
236,0.01456300000000077
237,0.01532100000000014
238,0.014440000000000452
239,0.015266999999999697
240,0.015114999999999768
241,0.01527999999999885
242,0.015112999999999488
243,0.015299000000000618
244,0.015114999999999768
245,0.015168999999998434
246,0.015064999999999884
247,0.015123000000000886
248,0.014810000000000656
249,0.014451000000001102
250,0.014305000000000234
251,0.014196999999999349
252,0.01409600000000033
253,0.014336000000000126
254,0.01438800000000029
255,0.014860999999999791
256,0.014469999999999317
257,0.01418899999999823
258,0.01405499999999904
259,0.01443200000000111
260,0.014330000000001064
261,0.014604999999999535
262,0.014104999999998924
263,0.014445999999999515
264,0.014139999999999375
265,0.01454000000000022
266,0.014523000000000508
267,0.014554999999999652
268,0.015527999999999764
269,0.015577999999999648
270,0.015916000000000707
271,0.015883999999999787
272,0.014594000000000662
273,0.014667000000001096
274,0.014887999999999124
275,0.015038000000000551
276,0.014909000000001171
277,0.014874999999999972
278,0.014835999999998961
279,0.015618999999999161
280,0.015575999999999368
281,0.015079000000000065
282,0.014440000000000452
283,0.014581999999998985
284,0.014820000000000277
285,0.014693000000001177
286,0.014981000000000577
287,0.014979000000000298
288,0.014753999999999934
289,0.0150030000000001
290,0.014927999999999386
291,0.014703000000000799
292,0.014732999999999663
293,0.01483299999999943
294,0.014661000000000257
295,0.014801999999999538
296,0.01471700000000098
297,0.014146999999999466
298,0.014264999999999972
299,0.01422999999999952
300,0.014544000000000779
301,0.014713999999999672
302,0.014493999999999119
303,0.014654999999999418
304,0.016441999999999624
305,0.023446000000001632
306,0.017416000000000764
307,0.014921000000001072
308,0.014276999999999873
309,0.01450399999999874
310,0.014574999999998894
311,0.014789999999999637
312,0.014306000000001262
313,0.014299999999998647
314,0.014161999999998898
315,0.014928999999998638
316,0.014945000000000874
317,0.015001999999999072
318,0.019902000000000086
319,0.016130999999999673
320,0.018228000000000577
321,0.016156999999999755
322,0.016332000000000235
323,0.015437000000000367
324,0.015196999999998795
325,0.014950000000000685
326,0.014798000000000755
327,0.015229000000001491
328,0.014326000000000505
329,0.014340000000000686
330,0.014292000000001082
331,0.014716999999999203
332,0.014769999999998618
333,0.014590000000000103
334,0.014472999999998848
335,0.014764999999998807
336,0.015392000000000294
337,0.014339000000001434
338,0.014569000000001608
339,0.014286000000000243
340,0.014101000000000141
341,0.014305000000000234
342,0.014154999999998807
343,0.014425999999998496
344,0.014203000000000188
345,0.017885000000001483
346,0.018133999999999872
347,0.022180999999999784
348,0.01886999999999972
349,0.015373000000000303
350,0.015838999999999714
351,0.01605799999999924
352,0.01489900000000155
353,0.015863999999998768
354,0.014878999999998754
355,0.015356000000000591
356,0.015265000000001194
357,0.015534999999999854
358,0.015494999999999592
359,0.015295000000000059
360,0.015082999999998847
361,0.015640999999998684
362,0.015231999999999246
363,0.015483999999998943
364,0.01579000000000086
365,0.014940000000001064
366,0.014777999999999736
367,0.015380000000000393
368,0.01505100000000148
369,0.015268999999999977
370,0.01504200000000111
371,0.015247000000000455
372,0.015048999999999424
373,0.015018999999998783
374,0.015515000000000612
375,0.01560899999999954
376,0.016519000000000617
377,0.03125800000000112
378,0.016321999999998837
379,0.019363999999999493
380,0.015632999999999342
381,0.014763999999999555
382,0.014590999999999354
383,0.01455900000000021
384,0.015202000000000382
385,0.015139000000001346
386,0.01473600000000097
387,0.015294000000000807
388,0.015528999999999016
389,0.015397000000000105
390,0.015400999999998888
391,0.015525000000000233
392,0.015579999999999927
393,0.015404999999999447
394,0.015564999999998719
395,0.01581100000000113
396,0.014907000000000892
397,0.015435000000000088
398,0.015086000000000155
399,0.016016000000000474
400,0.014854000000001477
401,0.014915000000000234
402,0.015423000000000187
403,0.015365000000000961
404,0.015312000000001547
405,0.015461000000000169
406,0.01472000000000051
407,0.015214000000000283
408,0.01512599999999864
409,0.015153999999999002
410,0.014893999999999963
411,0.014562999999998993
412,0.014810000000000656
413,0.015336999999998824
414,0.01468299999999978
415,0.015296000000001087
416,0.014846000000000359
417,0.014877999999999503
418,0.01454299999999975
419,0.015109999999999957
420,0.014765000000000583
421,0.015024999999999622
422,0.014967999999999648
423,0.015439000000000647
424,0.01499899999999954
425,0.01505100000000148
426,0.014794999999999447
427,0.015444000000000457
428,0.016272999999999982
429,0.01548000000000016
430,0.015226000000000184
431,0.015190000000000481
432,0.014915999999999485
433,0.014943999999999846
434,0.01425700000000063
435,0.014761999999999276
436,0.01501200000000047
437,0.01471100000000014
438,0.01455900000000021
439,0.014642999999999518
440,0.014934999999999476
441,0.01499199999999945
442,0.014920000000000044
443,0.015489999999999782
444,0.01563100000000084
445,0.015002000000000848
446,0.016739999999998645
447,0.017905000000000726
448,0.014680000000000248
449,0.014939000000000036
450,0.01465099999999886
451,0.014916999999998737
452,0.014364000000000487
453,0.014441999999998956
454,0.014607000000001591
455,0.014546999999998533
456,0.014312000000000324
457,0.01504000000000083
458,0.014599000000000473
459,0.014346999999999
460,0.014283999999999963
461,0.014461999999999975
462,0.01437499999999936
463,0.014416999999999902
464,0.014153999999999556
465,0.014276000000000622
466,0.014545999999999282
467,0.01435599999999937
468,0.014276000000000622
469,0.01456300000000077
470,0.014746999999999844
471,0.014812000000000936
472,0.013994000000000284
473,0.014479999999998938
474,0.01467199999999913
475,0.014773999999999177
476,0.014569999999999084
477,0.014757999999998717
478,0.01440700000000028
479,0.01437499999999936
480,0.014457000000000164
481,0.014592000000000382
482,0.014371000000000578
483,0.014426000000000272
484,0.014127999999999474
485,0.014278000000000901
486,0.01458400000000104
487,0.014393999999999352
