number of asset,iteration,time
5,1,2.2499629999999797
5,2,2.20976799999994
5,3,1.7480490000000373
5,4,1.6733970000000227
5,5,1.6425010000000384
5,6,1.7514699999999266
5,7,1.6814150000000154
5,8,1.645083999999997
5,9,1.759123000000045
5,10,2.3765079999998306
5,11,1.6274640000001455
5,12,1.7422970000000078
5,13,1.758780999999999
5,14,1.793924000000061
5,15,1.9835109999999077
5,16,1.6849769999998898
5,17,1.7316000000000713
5,18,1.862587000000076
5,19,1.7889900000000125
5,20,1.6004430000000411
5,21,1.6109000000001288
5,22,1.8026330000000144
5,23,1.6156419999999798
5,24,1.6213269999998374
5,25,1.5875909999999749
5,26,1.6140070000001288
5,27,1.5819870000000265
5,28,1.556043999999929
5,29,1.5862899999999627
5,30,1.677567000000181
5,31,1.8269290000000638
5,32,1.6359509999999773
5,33,1.6768080000001646
5,34,1.5797660000000633
5,35,1.6342909999998483
5,36,1.6381200000000717
5,37,1.6721440000001166
5,38,1.709720999999945
5,39,1.7011720000000423
5,40,1.6204940000000079
5,41,1.6576930000001084
5,42,1.6413170000000719
5,43,1.5765839999999116
5,44,1.6947839999997996
5,45,1.6092220000000452
5,46,1.63183099999992
5,47,1.666667999999845
5,48,1.8018990000000485
5,49,1.6858100000001741
5,50,1.7003939999999602
5,51,1.732977000000119
5,52,1.6449350000000322
5,53,1.6832349999999678
5,54,1.6101159999998345
5,55,1.6685660000000553
5,56,1.6965589999999793
5,57,1.718757000000096
5,58,1.677372000000105
5,59,1.6564769999999953
5,60,1.6335679999999684
5,61,1.7008659999999054
5,62,1.680407999999943
5,63,1.7139819999999872
5,64,1.7616120000000137
5,65,1.656782000000021
5,66,1.6513789999999062
5,67,1.6536929999999757
5,68,1.6056720000001405
5,69,1.5998769999998785
5,70,1.6672289999999066
5,71,1.6675689999999577
5,72,1.6499189999999544
5,73,1.7586440000000039
5,74,1.77174500000001
5,75,1.7175190000000384
5,76,1.658190999999988
5,77,1.6670530000001236
5,78,1.645966000000044
5,79,1.719241000000011
5,80,1.6348590000000058
5,81,1.7257049999998344
5,82,1.5538610000000972
5,83,1.6072560000000067
5,84,1.5863409999999476
5,85,1.7104349999999613
5,86,1.6376580000001013
5,87,1.6208100000001195
5,88,1.6045290000001842
5,89,1.6893669999999474
5,90,1.8201960000001236
5,91,1.6672419999999875
5,92,1.6701379999999517
5,93,1.5725639999998293
5,94,1.544153999999935
5,95,1.6493179999999938
5,96,1.7196680000001834
5,97,1.7077300000000832
5,98,1.6628240000000005
5,99,1.6668180000001485
5,100,1.567214000000149
5,101,1.6834269999999378
5,102,1.6642170000000078
5,103,1.6950000000001637
5,104,1.624862000000121
5,105,1.644343999999819
5,106,1.8630290000000969
5,107,1.679439999999886
5,108,1.7678430000000844
5,109,1.7118299999999635
5,110,1.6867310000000089
5,111,1.6647089999999025
5,112,1.6282160000000658
5,113,1.726705999999922
5,114,1.6513499999998658
5,115,1.8143700000000536
5,116,1.8285330000001068
5,117,1.7117530000000443
5,118,1.6399759999999333
5,119,1.6475430000000415
5,120,1.6683219999999892
5,121,1.6713540000000648
5,122,1.7567070000000058
5,123,1.7181060000000343
5,124,1.6808159999998225
5,125,1.635766999999987
5,126,1.6266189999998915
5,127,1.6256110000001627
5,128,1.575886999999966
5,129,1.6328659999999218
5,130,1.6311760000000959
5,131,1.6550560000000587
5,132,1.7150430000001506
5,133,1.5993920000000799
5,134,1.6774359999999433
5,135,1.7463490000000093
5,136,1.6826140000000578
5,137,1.6770109999999931
5,138,1.617428000000018
5,139,1.8072449999999662
5,140,1.6558179999999538
5,141,1.7960720000000947
5,142,1.681056000000126
5,143,1.6416209999999865
5,144,1.687208000000055
5,145,1.5936770000000706
5,146,1.600065000000086
5,147,1.8427970000000187
5,148,1.7864419999998518
5,149,1.754282000000103
5,150,1.8202459999999974
5,151,2.030970000000025
5,152,1.7777030000002014
5,153,1.7720429999999396
5,154,1.8640310000000682
5,155,1.75945999999999
5,156,1.6205649999999423
5,157,1.7018239999999878
5,158,1.5687579999998889
5,159,1.601558999999952
5,160,1.5654910000000655
5,161,1.5941669999999704
5,162,1.55920500000002
5,163,1.603762000000188
5,164,1.5867479999999432
5,165,1.6494419999999081
5,166,1.6051119999999628
5,167,1.5997759999997925
5,168,1.6096219999999448
5,169,1.5977120000000014
5,170,1.634567000000061
5,171,1.6205549999999675
5,172,1.5736260000001039
5,173,1.602431999999908
5,174,1.6786329999999907
5,175,1.5645809999998619
5,176,1.6214869999998882
5,177,1.612083999999868
5,178,1.573889999999892
5,179,1.5869769999999335
5,180,1.5689240000001519
5,181,1.669840000000022
5,182,1.7413550000001123
5,183,1.7601810000001024
5,184,1.7612300000000687
5,185,1.7253519999999298
5,186,1.7402959999999439
5,187,1.7163250000000971
5,188,1.6844209999999293
5,189,1.736941999999999
5,190,1.95283500000005
5,191,1.6870960000001105
5,192,1.6375870000001669
5,193,1.7829600000000028
5,194,1.7007599999999456
5,195,1.7638019999999415
5,196,1.729131999999936
5,197,1.7630240000000867
5,198,1.6739290000000437
5,199,1.919514000000163
5,200,1.6290469999999004
5,201,1.64731699999993
5,202,1.6528249999998934
5,203,1.7052830000000085
5,204,1.6358190000000832
5,205,1.5645990000000438
5,206,1.598209999999881
5,207,1.67842399999995
5,208,1.6058530000000246
5,209,1.6106860000002143
5,210,1.5965040000000954
5,211,1.5267460000000028
5,212,1.5623559999999088
5,213,1.5595659999999043
5,214,1.600349000000051
5,215,1.563560999999936
5,216,1.6814050000000407
5,217,1.6108330000001843
5,218,1.6158100000000104
5,219,1.5627150000000256
5,220,1.6079610000001594
5,221,1.607682000000068
5,222,1.599608999999873
5,223,1.66662099999985
5,224,1.6077460000001338
5,225,1.5935269999999946
5,226,1.5646409999999378
5,227,1.609476000000086
5,228,1.6065880000001016
5,229,1.607825000000048
5,230,1.6076919999998154
5,231,1.624810000000025
5,232,1.6591780000001108
5,233,1.6020860000000994
5,234,1.5973680000001877
5,235,1.5701120000001083
5,236,1.5703530000000683
5,237,1.5910300000000461
5,238,1.5929469999998673
5,239,1.5945509999999103
5,240,1.5951160000001892
5,241,1.6691909999999552
5,242,1.5613910000001852
5,243,1.6985610000001543
5,244,1.5989819999999781
5,245,1.5495370000001003
5,246,1.5223809999999958
5,247,1.5844110000000455
5,248,1.5590279999998984
5,249,1.6705389999999625
5,250,1.6030330000000959
5,251,1.6083189999999377
5,252,1.6073790000000372
5,253,1.6115800000000036
5,254,1.606117999999924
5,255,1.5577480000001742
5,256,1.5965370000001258
5,257,1.6794199999999364
5,258,1.811623999999938
5,259,1.7697660000001179
5,260,1.7592949999998382
5,261,1.7602979999999206
5,262,1.6726959999998599
5,263,1.7071339999999964
5,264,1.674968999999919
5,265,1.7289469999998346
5,266,1.660133999999971
5,267,1.8895889999998872
5,268,1.7465750000001208
5,269,1.7490569999999934
5,270,2.0771810000001096
5,271,2.047217000000046
5,272,1.8049230000001444
5,273,1.763794000000189
5,274,2.1486110000000735
5,275,1.6867429999999786
5,276,1.7985499999999774
5,277,1.5747800000001462
5,278,1.7214089999999942
5,279,1.7377489999998943
5,280,1.6487990000000536
5,281,1.619179000000031
5,282,1.7329409999999825
5,283,1.8849350000000413
5,284,1.8486450000000332
5,285,1.6994340000001102
5,286,1.6387489999999616
5,287,1.6404660000000604
5,288,1.6826269999999113
5,289,1.6501399999999649
5,290,1.6157650000000103
5,291,1.689640000000054
5,292,1.5530100000000857
5,293,1.594727000000148
5,294,1.5373630000001413
5,295,1.6000759999999445
5,296,1.6051540000000841
5,297,1.5751869999999144
5,298,1.5529879999999139
5,299,1.6271110000000135
5,300,1.7187870000000203
5,301,1.6343809999998484
5,302,1.576821000000109
5,303,1.5660090000001219
5,304,1.583998000000065
5,305,1.6418189999999413
5,306,1.6389590000001135
5,307,1.8656060000000707
5,308,1.7939630000000761
5,309,2.2786929999999757
5,310,1.854131999999936
5,311,1.6423999999999523
5,312,1.9271360000000186
5,313,1.6501909999999498
5,314,1.7137720000000627
5,315,1.617089999999962
5,316,1.8922679999998309
5,317,1.7595169999999598
5,318,1.6049070000001393
5,319,1.550117999999884
5,320,1.600748000000067
5,321,1.598991000000069
5,322,1.6594119999999748
5,323,1.6697549999998955
5,324,1.7346919999999955
5,325,1.8197650000001886
5,326,1.6938860000000204
5,327,1.7023020000001452
5,328,1.6781250000001364
5,329,1.674122000000125
5,330,1.625443000000132
5,331,1.6367549999999937
5,332,1.7574660000000222
5,333,1.7487100000000737
5,334,1.614518999999973
5,335,1.5932390000000396
5,336,1.691424999999981
5,337,1.6419350000001032
5,338,1.6113800000000538
5,339,1.6074879999998757
5,340,1.5715450000000146
5,341,1.558234000000084
5,342,1.6858839999999873
5,343,1.617682000000059
5,344,1.6729149999998754
5,345,1.5751980000000003
5,346,1.6108749999998508
5,347,1.56054099999983
5,348,1.6029300000000148
5,349,1.5822500000001583
5,350,1.5765819999999167
5,351,1.6935699999999088
5,352,1.5601639999999861
5,353,1.5814809999999397
5,354,1.5564840000001823
5,355,1.5513889999997446
5,356,1.6131380000001627
5,357,1.6176390000000538
5,358,1.7109129999998913
5,359,1.6261279999998806
5,360,1.6046779999996943
5,361,1.5730899999998655
5,362,1.9995380000000296
5,363,1.8357730000002448
5,364,1.6957150000002912
5,365,1.6144130000002406
5,366,1.6934570000003077
5,367,1.9064300000000003
5,368,1.8480930000000626
5,369,1.7098970000001827
5,370,1.636677000000418
5,371,1.6069629999997233
5,372,1.572229999999763
5,373,1.755388000000039
5,374,1.61868800000002
5,375,1.7615740000001097
5,376,1.6871189999997114
5,377,1.6317239999998492
5,378,1.5566460000000006
5,379,1.561099000000013
5,380,1.5555930000000444
5,381,1.5951810000001387
5,382,1.6537920000000668
5,383,1.5838329999996859
5,384,1.6120860000000903
5,385,1.6083690000000388
5,386,1.6127989999999954
5,387,1.5768629999997756
5,388,1.8696820000000116
5,389,1.6690570000000662
5,390,1.7646159999999327
5,391,1.6223589999999604
5,392,1.5501469999999244
5,393,1.797102999999879
5,394,1.6431760000000395
5,395,1.569315999999617
5,396,1.6075190000001385
5,397,1.6025110000000495
5,398,1.5989459999996143
5,399,1.606408999999985
5,400,1.8221220000000358
5,401,1.6128469999998742
5,402,1.5788199999997232
5,403,1.5998819999999796
5,404,1.542819999999665
5,405,1.564045999999962
5,406,1.6375530000000253
5,407,1.6054979999998977
5,408,1.5933469999999943
5,409,1.6657530000002225
5,410,1.6109839999999167
5,411,1.6135859999999411
5,412,1.6037030000002233
5,413,1.5673110000002453
5,414,1.6565709999999854
5,415,1.5675719999999274
5,416,1.559349999999995
5,417,1.5788599999996222
5,418,1.6518169999999373
5,419,1.5819699999997283
5,420,1.6692849999999453
5,421,1.556720999999925
5,422,1.6113299999997253
5,423,1.5431439999997565
5,424,1.626792999999907
5,425,1.5635400000001027
5,426,1.298765000000003
5,427,1.5884249999999156
5,428,1.5551949999999124
5,429,1.5980110000000423
5,430,1.5608150000002752
5,431,1.596140000000105
5,432,1.6206489999999576
5,433,1.6712600000000748
5,434,1.5867849999999635
5,435,1.5793959999996332
5,436,1.6118139999998675
5,437,1.640081999999893
5,438,1.8753679999999804
5,439,1.7045830000001843
5,440,1.645806999999877
5,441,1.7036639999996623
5,442,1.6854290000001129
5,443,1.5889999999999418
5,444,1.6280580000002374
5,445,1.6393079999998008
5,446,1.5652290000002722
5,447,1.5559510000002774
5,448,1.6087489999999889
5,449,1.6954500000001644
5,450,1.5901029999999992
5,451,1.6512739999998303
5,452,1.6248930000001565
5,453,1.5775369999996656
5,454,1.5778519999998935
5,455,1.6183430000000953
5,456,1.6756679999998596
5,457,1.5788579999998547
5,458,1.7087659999997413
5,459,1.609653999999864
5,460,1.6276660000003176
5,461,1.667609000000084
5,462,1.6934940000001006
5,463,1.6713329999997768
5,464,1.8156439999997929
5,465,1.8317190000002483
5,466,1.798095000000103
5,467,1.7428180000001703
5,468,1.6265129999997043
5,469,1.796045999999933
5,470,1.6759669999996731
5,471,1.566399000000274
5,472,1.6181759999999485
5,473,1.665805999999975
5,474,1.7916199999999662
5,475,1.7147509999999784
5,476,1.75224500000013
5,477,1.8037950000002638
5,478,1.7550820000001295
5,479,1.9401569999999992
5,480,1.5896720000000641
5,481,1.7165670000003956
5,482,1.786188999999922
5,483,2.000586999999996
5,484,1.7387739999999212
5,485,2.048185999999987
5,486,1.7834409999995842
5,487,1.709501000000273
5,488,1.714422999999897
5,489,1.5897670000003927
5,490,1.5371479999998883
5,491,1.535852999999861
5,492,1.6060319999996864
5,493,1.6057019999998374
5,494,1.5998359999998684
5,495,1.6085070000003725
5,496,1.5451030000003811
