number of asset,iteration,time
5,1,0.9469020000000228
5,2,0.42534200000000055
5,3,0.7293339999999944
5,4,1.3907820000000584
5,5,0.9189559999999801
5,6,0.8415729999999257
5,7,0.3792129999999361
5,8,0.2486149999999725
5,9,0.5988360000000057
5,10,0.43927100000007613
5,11,0.848068000000012
5,12,0.21582100000000537
5,13,0.3883860000000823
5,14,0.20518800000002102
5,15,0.8456039999999803
5,16,0.4225249999999505
5,17,0.8410099999999829
5,18,0.575574999999958
5,19,0.8811870000000681
5,20,0.3816540000000259
5,21,0.42344600000001265
5,22,0.6142660000000433
5,23,0.44027600000003986
5,24,0.39448800000002393
5,25,0.7534970000000385
5,26,0.231612000000041
5,27,0.24133600000004662
5,28,0.5774129999999786
5,29,0.7547000000000708
5,30,0.8567070000000285
5,31,0.8540279999999711
5,32,0.8539879999999584
5,33,0.23762299999998504
5,34,0.8545060000000149
5,35,0.8475089999999454
5,36,0.3003519999999753
5,37,0.5208270000000539
5,38,0.8529809999999998
5,39,0.8448280000000068
5,40,0.36688599999990856
5,41,0.8962759999999435
5,42,0.7589009999999234
5,43,0.4086330000000089
5,44,0.37762499999996635
5,45,0.2325500000000602
5,46,0.8626920000000382
5,47,0.2984289999999419
5,48,0.373250999999982
5,49,0.8505020000000059
5,50,0.5120860000000675
5,51,0.8578159999999571
5,52,0.47548699999993005
5,53,0.8473089999999956
5,54,0.8567490000000362
5,55,0.8469499999999925
5,56,0.2128020000000106
5,57,0.24868400000002566
5,58,0.275305000000003
5,59,0.8486470000000281
5,60,0.3139409999999998
5,61,0.39760999999998603
5,62,0.26127600000006623
5,63,0.514152000000081
5,64,0.4000939999999673
5,65,0.847370000000069
5,66,0.8437639999999647
5,67,0.2449699999999666
5,68,0.3669439999999895
5,69,0.2411740000000009
5,70,0.7525510000000395
5,71,0.8458920000000489
5,72,0.31618300000002364
5,73,0.33710499999995136
5,74,0.5293309999999565
5,75,0.24085300000001553
5,76,0.8063359999999875
5,77,0.8482079999999996
5,78,0.21213000000000193
5,79,0.3694300000000794
5,80,0.5952069999999594
5,81,0.3632039999999961
5,82,0.5970569999999498
5,83,0.19056399999999485
5,84,0.3377450000000408
5,85,0.8536759999999504
5,86,0.8499099999999089
5,87,0.8458099999999149
5,88,0.8564629999999624
5,89,0.21795300000007956
5,90,0.3293459999999868
5,91,0.20673199999998815
5,92,0.2841649999999163
5,93,0.2491659999999456
5,94,0.8399590000000217
5,95,0.8419889999998986
5,96,0.8466929999999593
5,97,0.8447479999999814
5,98,0.8507280000000037
5,99,0.8369930000000068
5,100,0.9144529999999804
5,101,0.8498059999999441
5,102,0.8450079999998934
5,103,0.854881999999975
5,104,0.8751200000000381
5,105,0.3166109999999662
5,106,0.4022589999999582
5,107,0.8800750000000335
5,108,0.8742730000000165
5,109,0.3751389999999901
5,110,0.33303799999998773
5,111,0.37184500000000753
5,112,0.8663540000000012
5,113,0.581403000000023
5,114,0.21236899999996695
5,115,0.21440999999992982
5,116,0.8610840000000053
5,117,0.37711799999999585
5,118,0.7791730000000143
5,119,0.8385700000000043
5,120,0.8401229999999487
5,121,0.19423700000004374
5,122,0.2983310000000756
5,123,0.3867010000000164
5,124,0.44614400000000387
5,125,0.9025330000000622
5,126,0.35604799999998704
5,127,0.6836459999999533
5,128,0.2430890000000545
5,129,0.32388400000002093
5,130,0.30949200000009114
5,131,0.8447869999999966
5,132,0.8508470000000443
5,133,0.8538999999999533
5,134,0.8578959999999825
5,135,0.8496290000000499
5,136,0.3877149999999574
5,137,0.8425539999999501
5,138,0.7652590000000146
5,139,0.8389999999999418
5,140,0.8360460000000103
5,141,0.8395529999999098
5,142,0.8510360000000219
5,143,0.8476259999999911
5,144,0.41555800000003273
5,145,0.7242400000000089
5,146,0.21604199999990215
5,147,0.29447399999992285
5,148,0.3096090000000231
5,149,0.2382119999999759
5,150,0.21751100000005863
5,151,0.8488210000000436
5,152,0.572447000000011
5,153,0.36686299999996663
5,154,0.25589100000001963
5,155,0.35410699999999906
