number of asset,iteration,time
5,1,0.08199299999978393
5,2,0.06812600000012026
5,3,0.0713610000002518
5,4,0.07625199999984034
5,5,0.08002600000008897
5,6,0.08096100000011575
5,7,0.06475499999987733
5,8,0.0679429999995591
5,9,0.36367599999994127
5,10,0.06986400000005233
5,11,0.0887920000000122
5,12,0.071154000000206
5,13,0.3707409999997253
5,14,0.07522100000005594
5,15,0.1476990000001024
5,16,0.07603199999994104
5,17,0.07493899999963105
5,18,0.14011600000003455
5,19,0.0791030000000319
5,20,0.06874700000025769
5,21,0.0672789999998713
5,22,0.07494799999994939
5,23,0.07242799999994531
5,24,0.08600199999955294
5,25,0.08400699999992867
5,26,0.07150499999988824
5,27,0.07370099999980084
5,28,0.3631709999999657
5,29,0.07201200000008612
5,30,0.06661699999995108
5,31,0.12170300000025236
5,32,0.07980499999985113
5,33,0.07411999999976615
5,34,0.3891199999998207
5,35,0.07815000000027794
5,36,0.07605800000010277
5,37,0.07860900000014226
5,38,0.10657399999990957
5,39,0.07843300000013187
5,40,0.09985099999994418
5,41,0.09134900000026391
5,42,0.10995299999967756
5,43,0.11404399999992165
5,44,0.10051900000007663
5,45,0.11401200000000244
5,46,0.12269400000013775
5,47,0.12711699999999837
5,48,0.12562500000012733
5,49,0.120991000000231
5,50,0.0990999999999076
5,51,0.11007000000017797
5,52,0.0960109999996348
5,53,0.07772700000032273
5,54,0.07530599999972765
5,55,0.07388399999990725
5,56,0.0812540000001718
5,57,0.10446000000001732
5,58,0.07269200000018827
5,59,0.06999899999982517
5,60,0.08114199999999983
5,61,0.08614900000020498
5,62,0.07146899999997913
5,63,0.067674999999781
5,64,0.08251900000004753
5,65,0.07538999999997031
5,66,0.07161300000007031
5,67,0.06952099999989514
5,68,0.06712299999981042
5,69,0.06866600000012113
5,70,0.07142800000019633
5,71,0.07268100000010236
5,72,0.06807099999969068
5,73,0.07409299999972063
5,74,0.06906600000002072
5,75,0.07150299999966592
5,76,0.06977800000004208
5,77,0.06635799999958181
5,78,0.07390799999984665
5,79,0.07127600000012535
5,80,0.08047499999975116
5,81,0.07666699999981574
5,82,0.07245599999987462
5,83,0.15044699999998556
5,84,0.07119999999986248
5,85,0.10158499999988635
5,86,0.3722749999997177
5,87,0.06792300000006435
5,88,0.08476399999972273
5,89,0.07459000000017113
5,90,0.08653300000014497
5,91,0.07506000000012136
5,92,0.07272800000009738
5,93,0.07293799999979456
5,94,0.07615200000009281
5,95,0.10471000000006825
5,96,0.07288199999993594
5,97,0.08824300000014773
5,98,0.36556900000005044
5,99,0.370169999999689
5,100,0.06878400000005058
5,101,0.06934300000011717
5,102,0.06541500000002998
5,103,0.07881500000030428
5,104,0.07274899999993067
5,105,0.07418199999983699
5,106,0.07598400000006222
5,107,0.07233200000018769
5,108,0.08032800000000861
5,109,0.07243199999993521
5,110,0.0885760000001028
5,111,0.07799999999997453
5,112,0.07147499999973661
5,113,0.07010700000000725
5,114,0.07573400000001129
5,115,0.06841199999962555
5,116,0.07044399999995221
5,117,0.3729510000002847
5,118,0.07181200000013632
5,119,0.06895600000007107
5,120,0.07450399999970614
5,121,0.0747519999999895
5,122,0.07219099999974787
5,123,0.08931900000015958
5,124,0.07633100000020931
5,125,0.07200899999998
5,126,0.06821099999979197
5,127,0.0740099999998165
5,128,0.07070799999974042
5,129,0.36049400000001697
5,130,0.07213300000012168
5,131,0.06977499999993597
5,132,0.07593600000018341
5,133,0.0664400000000569
5,134,0.06790500000033717
5,135,0.12865700000020297
5,136,0.0716139999999541
5,137,0.07218199999988428
5,138,0.14569100000016988
5,139,0.0702619999997296
5,140,0.0665740000004007
5,141,0.07032500000013897
5,142,0.07031199999983073
5,143,0.07621299999982512
5,144,0.08715200000006007
5,145,0.07762099999990824
5,146,0.09880999999995765
5,147,0.07565599999998085
5,148,0.07541499999979351
5,149,0.36242399999991903
5,150,0.07060900000033143
5,151,0.09117299999979878
5,152,0.0685670000002574
5,153,0.06773599999996804
5,154,0.37034700000003795
5,155,0.06629099999963728
5,156,0.07308400000010806
5,157,0.0787319999999454
5,158,0.07406499999979133
5,159,0.07713399999965986
5,160,0.06774199999972552
5,161,0.37152500000001965
5,162,0.07333500000004278
5,163,0.07466800000020157
5,164,0.07070599999997285
5,165,0.09771899999987
5,166,0.0735859999999775
5,167,0.080927999999858
5,168,0.06892299999981333
5,169,0.06875700000000506
5,170,0.08245400000032532
5,171,0.07526200000029348
5,172,0.07601799999974901
5,173,0.07318600000007791
5,174,0.07484699999986333
5,175,0.07060499999988679
5,176,0.0725800000000163
5,177,0.07249199999978373
5,178,0.07302400000025955
5,179,0.06650399999989531
5,180,0.07212500000014188
5,181,0.06770700000015495
5,182,0.0720049999999901
5,183,0.06887000000006083
5,184,0.0703670000002603
5,185,0.07215799999994488
5,186,0.3804269999995995
