number of asset,iteration,time
5,1,5.198518000001059
5,2,16.133341000000655
5,3,11.259644000001572
5,4,10.045579999999973
5,5,9.644142000001011
5,6,9.593378999999914
5,7,9.546525000001566
5,8,9.590426999999181
5,9,9.860946000000695
5,10,4.424391000000469
5,11,9.905925000000934
5,12,9.775045000000318
5,13,9.417846000000281
5,14,9.405949000001783
5,15,9.484199999998964
5,16,10.37350399999923
5,17,10.968956000000617
5,18,9.52161199999864
5,19,10.350086000000374
5,20,9.094841999998607
5,21,9.593636000001425
5,22,9.775755999999092
5,23,9.287320999999793
5,24,10.139068000000407
5,25,9.39951100000144
5,26,9.49015800000052
5,27,9.420599000000948
5,28,9.200963999999658
5,29,9.457648000001427
5,30,9.357777999999598
5,31,9.258406999999352
5,32,9.638807999999699
5,33,9.365508000000773
5,34,9.580434999999852
5,35,9.513903999999457
5,36,9.240697999999611
5,37,9.387292999999772
5,38,9.2066049999994
5,39,9.187598000000435
5,40,9.861433999998553
5,41,9.31931799999984
5,42,9.160028000000239
5,43,9.242379000001165
5,44,9.485491999999795
5,45,9.547700000000987
5,46,9.370280999999522
5,47,9.544507999999041
5,48,9.220869999999195
5,49,7.004622000000381
5,50,11.177539999998771
5,51,10.182035000001633
5,52,9.68843299999935
5,53,9.316107000000557
5,54,9.789037000000462
5,55,9.393057999999655
5,56,9.326645000001008
5,57,9.527980999999272
5,58,9.039393000000928
5,59,9.145304000001488
5,60,9.18224299999929
5,61,9.592256999998426
5,62,14.411333000000013
5,63,9.938084999999774
5,64,9.97549699999945
5,65,9.748486000000412
5,66,10.253108999999313
5,67,9.486251000000266
5,68,9.316156999999293
5,69,9.740835999999035
5,70,9.057042999998885
5,71,10.095312999999805
5,72,9.659766000000673
5,73,9.382207999999082
5,74,9.144815999999992
5,75,3.7914250000012544
5,76,9.07290599999942
5,77,9.66294999999991
5,78,9.530345999999554
5,79,9.49938900000052
5,80,9.157836000000316
5,81,9.57375999999931
5,82,9.090937999999369
5,83,9.151708999999755
5,84,9.848292000000583
5,85,9.338767000001098
5,86,9.139678999999887
5,87,9.698618999998871
5,88,9.577038999999786
5,89,8.747752999999648
5,90,9.34415700000136
5,91,8.927126999999018
5,92,9.334875000000466
5,93,9.04638199999863
5,94,9.265472999999474
5,95,9.599013000000923
5,96,9.434871999999814
5,97,9.524717999998757
5,98,9.382168999998612
5,99,10.26043000000027
5,100,10.30301099999997
5,101,9.81103499999881
5,102,9.307128000000375
5,103,9.495829999999842
5,104,9.068177999999534
5,105,9.24876100000074
5,106,9.907231000001048
5,107,9.529580000000351
5,108,9.69732699999986
5,109,10.40686900000037
5,110,10.500222999999096
5,111,9.818527999999787
5,112,8.958897999998953
5,113,10.099186999999802
5,114,10.058718999998746
5,115,10.009803999999349
5,116,9.483492999999726
5,117,9.146795000000566
5,118,10.169487000001027
5,119,10.25311899999906
5,120,9.218893999999636
5,121,9.383647999999084
5,122,9.949314000001323
5,123,9.630143000000317
5,124,10.051376000001255
5,125,9.107629000000088
5,126,8.982192000001305
5,127,4.778485000000728
5,128,9.004382000000987
5,129,9.27935400000024
5,130,9.578127000000677
5,131,4.279300000000148
5,132,9.409534999998868
5,133,9.413919999999052
5,134,9.667985999998564
5,135,9.185247999999774
5,136,9.34606200000053
5,137,9.734812000000602
5,138,9.430513999999675
5,139,4.851423000000068
